"ID","Accident ID","Region Number","Corridor ID","Location (Intersection/Road/Street)","Corridor","Location- longitude/ X","Location- latitude/  Y","Mile Marker","Village","Date of Accident","Time of Accident","Type of Accident","Class of Road User","Age/DOB","Gender","Class of Vehicles Involved","Contributing Factor","Number of Persons Involved"
5682,26111.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,9/4/2010 0:00:00,12/30/1899 10:40:00,"D- Property Damage","F- Driver",32.00,"Female","K- Private Cars;V-Motor Cycle","S- Driver's Negligence",1.00
5683,26112.00,"4- Demerara- Mahaica",351,"Bagotstown Public Rd.","East bank Demerara (from Georgetown)","-58.1794","6.7505",,,9/5/2010 0:00:00,12/30/1899 5:10:00,"D- Property Damage","F- Driver",27.00,"Male","K- Private Cars","Q- Alcohol",2.00
5684,26113.00,"4- Demerara- Mahaica",349,"Eccles Public Rd.","East bank Demerara (from Georgetown)","-58.1706","6.7802",,,9/7/2010 0:00:00,12/30/1899 7:30:00,"C- Minor Injury","G- Rider",26.00,"Male","V-Motor Cycle","S- Driver's Negligence;U- Cyclist's Negligence",2.00
5685,26114.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,9/7/2010 0:00:00,12/30/1899 16:30:00,"D- Property Damage","F- Driver",26.00,"Male","K- Private Cars","P- Speeding",2.00
5686,26115.00,"4- Demerara- Mahaica",351,"Bagotstown Public Rd.","East bank Demerara (from Georgetown)","-58.1794","6.7505",,,9/11/2010 0:00:00,12/30/1899 2:40:00,"D- Property Damage","F- Driver",31.00,"Male","K- Private Cars","O- Lost Control & Runoff",1.00
5687,26116.00,"4- Demerara- Mahaica",366,"Prospect Public Rd.","East bank Demerara (from Georgetown)","-58.1865","6.7372",,,9/11/2010 0:00:00,12/30/1899 15:30:00,"D- Property Damage","F- Driver",42.00,"Male","J- Minibus","S- Driver's Negligence",1.00
5688,26117.00,"4- Demerara- Mahaica",353,"Peter's Hall Public Rd.","East bank Demerara (from Georgetown)","-58.1698","6.7724",,,9/11/2010 0:00:00,12/30/1899 10:10:00,"D- Property Damage","F- Driver",54.00,"Male","K- Private Cars;L- Lorries Van","S- Driver's Negligence",2.00
5689,26118.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,9/16/2010 0:00:00,12/30/1899 11:15:00,"D- Property Damage","F- Driver",43.00,"Male","K- Private Cars;V-Motor Cycle","P- Speeding",2.00
5690,26119.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,9/13/2010 0:00:00,,"D- Property Damage","F- Driver",56.00,"Male","J- Minibus;N- Pickup","S- Driver's Negligence",2.00
5691,26120.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,9/19/2010 0:00:00,12/30/1899 19:00:00,"C- Minor Injury","F- Driver",32.00,"Male","K- Private Cars;V-Motor Cycle","P- Speeding",2.00
5692,26121.00,"4- Demerara- Mahaica",349,"Eccles Public Rd.","East bank Demerara (from Georgetown)","-58.1706","6.7802",,,9/22/2010 0:00:00,12/30/1899 10:45:00,"D- Property Damage","F- Driver",42.00,"Female","K- Private Cars;M- Hire Cars","S- Driver's Negligence",3.00
5693,26122.00,"4- Demerara- Mahaica",348,"Agricola Public Rd.","East bank Demerara (from Georgetown)","-58.1693","6.7824",,,9/20/2010 0:00:00,12/30/1899 23:00:00,"A- Fatal","F- Driver",42.00,"Male","N- Pickup","T-Pedestrian's Negligence",2.00
5694,26123.00,"4- Demerara- Mahaica",366,"Prospect Public Rd.","East bank Demerara (from Georgetown)","-58.1865","6.7372",,,9/25/2010 0:00:00,12/30/1899 11:15:00,"D- Property Damage","F- Driver",59.00,"Male","J- Minibus;L- Lorries Van","S- Driver's Negligence",2.00
5695,26124.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,9/25/2010 0:00:00,12/30/1899 11:35:00,"D- Property Damage","F- Driver",62.00,"Male","L- Lorries Van","S- Driver's Negligence",2.00
5696,26125.00,"4- Demerara- Mahaica",260,"Harbour Bridge Access Rd.","West Bank Demerara River (From Vreed-en-Hoop)","-58.1791","6.7679",,,9/26/2010 0:00:00,12/30/1899 18:00:00,"D- Property Damage","F- Driver",40.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
5697,26126.00,"4- Demerara- Mahaica",349,"Eccles Public Rd.","East bank Demerara (from Georgetown)","-58.1706","6.7802",,,9/26/2010 0:00:00,12/30/1899 9:45:00,"C- Minor Injury","F- Driver",66.00,"Male","L- Lorries Van","S- Driver's Negligence",2.00
5698,26127.00,"4- Demerara- Mahaica",353,"Peter's Hall Public Rd.","East bank Demerara (from Georgetown)","-58.1698","6.7724",,,9/29/2010 0:00:00,12/30/1899 7:30:00,"D- Property Damage","F- Driver",37.00,"Female","K- Private Cars;L- Lorries Van","S- Driver's Negligence",2.00
5699,26128.00,"4- Demerara- Mahaica",260,"Harbour Bridge Access Rd.","West Bank Demerara River (From Vreed-en-Hoop)","-58.1791","6.7679",,,10/4/2010 0:00:00,12/30/1899 23:30:00,"D- Property Damage","F- Driver",33.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
5700,26129.00,"4- Demerara- Mahaica",351,"Bagotstown Public Rd.","East bank Demerara (from Georgetown)","-58.1794","6.7505",,,10/4/2010 0:00:00,12/30/1899 18:50:00,"C- Minor Injury","F- Driver",30.00,"Male","J- Minibus;K- Private Cars","P- Speeding",3.00
5701,26130.00,"4- Demerara- Mahaica",367,"Little Diamond Public Rd.","East bank Demerara (from Georgetown)","-58.1864","6.7378",,,10/10/2010 0:00:00,12/30/1899 8:20:00,"D- Property Damage","F- Driver",19.00,"Male","K- Private Cars;N- Pickup","S- Driver's Negligence",2.00
5702,26131.00,"4- Demerara- Mahaica",349,"Industrial Site Eccles","East bank Demerara (from Georgetown)","-58.1704","6.7808",,,10/10/2010 0:00:00,12/30/1899 10:00:00,"B- Serious Injury","F- Driver",28.00,"Male","K- Private Cars;V-Motor Cycle","S- Driver's Negligence",2.00
5703,26132.00,"4- Demerara- Mahaica",349,"Eccles Public Rd.","East bank Demerara (from Georgetown)","-58.1706","6.7802",,,10/12/2010 0:00:00,,"D- Property Damage","F- Driver",37.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
5704,26133.00,"4- Demerara- Mahaica",260,"Harbour Bridge Access Rd.","West Bank Demerara River (From Vreed-en-Hoop)","-58.1791","6.7679",,,10/11/2010 0:00:00,12/30/1899 18:13:00,"D- Property Damage","F- Driver",,"Female","K- Private Cars;L- Lorries Van","S- Driver's Negligence",2.00
5705,26134.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,10/12/2010 0:00:00,12/30/1899 16:00:00,"C- Minor Injury","F- Driver",26.00,"Female","J- Minibus;K- Private Cars","S- Driver's Negligence",3.00
5706,26135.00,"4- Demerara- Mahaica",363,"Farm Public Rd.","East bank Demerara (from Georgetown)","-58.1881","6.7380",,,10/15/2010 0:00:00,12/30/1899 7:30:00,"D- Property Damage","F- Driver",,"Male",,"P- Speeding",1.00
