"code","manufacturer","category","creation_date","promised_date","need_by_date","transaction_date","qty_recv","unit_cost","total"
"FDC","LG ELECTRONICS","PHONE",2018-04-20,2018-05-29,2018-05-29,2018-05-31,1890,799.99,1511981.1
"FDC","LG ELECTRONICS","PHONE",2018-04-05,2018-05-22,2018-05-22,2018-05-31,630,719.99,453593.7
"FDC","LG ELECTRONICS","GOPHONE",2018-05-04,2018-05-29,2018-05-29,2018-05-31,2160,47.99,103658.4
"FDC","SAMSUNG","PHONE",2018-02-27,2018-03-28,2018-03-28,2018-04-02,2800,865,2422000
"FDC","SAMSUNG","PHONE",2018-03-08,2018-03-28,2018-03-28,2018-04-02,2165,591,1279515
"FDC","ZTE USA","PHONE",2018-01-17,2018-03-20,2018-03-20,2018-04-03,2500,136.49,341225
"FDC","LG ELECTRONICS","PHONE",2018-03-05,2018-04-03,2018-04-03,2018-04-04,595,291.24,173287.8
"FDC","LG ELECTRONICS","PHONE",2018-03-13,2018-04-03,2018-04-03,2018-04-04,1200,291.24,349488
"FDC","LG ELECTRONICS","PHONE",2018-03-05,2018-03-21,2018-03-21,2018-04-04,20,291.24,5824.8
"FDC","LG ELECTRONICS","PHONE",2018-03-05,2018-03-27,2018-03-27,2018-04-04,15,291.24,4368.6
"FDC","LG ELECTRONICS","GOPHONE",2018-02-26,2018-03-27,2018-03-27,2018-04-05,600,101.47,60882
"FDC","ZTE USA","PHONE",2018-01-17,2018-03-20,2018-03-20,2018-04-06,2500,136.49,341225
"FDC","LG ELECTRONICS","GOPHONE",2018-02-13,2018-03-27,2018-03-27,2018-04-06,2058,47.99,98763.42
"FDC","LG ELECTRONICS","GOPHONE",2018-02-13,2018-03-27,2018-03-27,2018-04-06,4320,47.99,207316.8
"FDC","LG ELECTRONICS","PHONE",2018-03-20,2018-04-10,2018-04-10,2018-04-10,1260,131.47,165652.2
"FDC","TCT MOBILE US INC","PHONE",2018-01-16,2018-04-09,2018-04-09,2018-04-10,8640,52.45,453168
"FDC","ZTE USA","PHONE",2018-01-30,2018-03-20,2018-03-20,2018-04-10,3000,136.49,409470
